q_num,q_type,answer,marks
1,MCQ,A,1
2,MCQ,B,1
3,MCQ,C,1
4,MCQ,A,1
5,MCQ,C,1
6,MCQ,B,2
7,MCQ,B,2
8,MCQ,A,2
9,MCQ,C,2
10,MCQ,A,2
11,MCQ,C,1
12,MCQ,B,1
13,MCQ,C,1
14,MCQ,A,1
15,MCQ,A,1
16,MCQ,C,1
17,MCQ,C,1
18,MCQ,D,1
19,MCQ,A,1
20,MCQ,A,1
21,MCQ,A,1
22,MCQ,A,1
23,MCQ,A,1
24,MSQ,ABC,1
25,MSQ,BD,1
26,MSQ,CD,1
27,MSQ,C,1
28,MSQ,AB,1
29,MSQ,AC,1
30,MSQ,BD,1
31,NAT,0.25,1
32,NAT,0.5,1
33,NAT,3,1
34,NAT,0.286,1
35,NAT,0.40,1
36,MCQ,B,2
37,MCQ,D,2
38,MCQ,A,2
39,MCQ,C,2
40,MCQ,A,2
41,MCQ,A,2
42,MCQ,A,2
43,MCQ,C,2
44,MCQ,C,2
45,MCQ,C,2
46,MCQ,D,2
47,MCQ,B,2
48,MSQ,AC,2
49,MSQ,CD,2
50,MSQ,AB,2
51,MSQ,BCD,2
52,MSQ,AD,2
53,MSQ,BC,2
54,MSQ,AC,2
55,MSQ,BC,2
56,MSQ,BC,2
57,MSQ,BD,2
58,MSQ,ACD,2
59,NAT,0,2
60,NAT,100,2
61,NAT,66.6,2
62,NAT,1,2
63,NAT,160,2
64,NAT,24,2
65,NAT,75,2

